,true_index,store_id,year,month,day,weekday,is_weekend,state_holiday_0,state_holiday_a,state_holiday_b,state_holiday_c,school_holiday,promotion,customers_per_day,open,predicted_sales
0,272371,415,2015,3,1,7,1,1,0,0,0,0,0,0,0,0.0
1,558468,27,2013,12,29,7,1,1,0,0,0,0,0,0,0,0.0
2,76950,404,2014,3,19,3,0,1,0,0,0,0,1,657,1,6435.287
3,77556,683,2013,1,29,2,0,1,0,0,0,0,0,862,1,6557.4043
4,456344,920,2014,3,19,3,0,1,0,0,0,0,1,591,1,5731.6157
5,436466,758,2014,6,26,4,0,1,0,0,0,0,0,569,1,4868.1265
6,646251,563,2015,2,16,1,0,1,0,0,0,0,1,321,1,3959.0364
7,650464,930,2014,11,22,6,1,1,0,0,0,0,0,1367,1,7418.6035
8,162710,756,2015,6,4,4,0,0,1,0,0,0,1,0,0,0.0
9,100327,49,2015,1,13,2,0,1,0,0,0,0,1,546,1,7441.84
10,374540,787,2015,7,23,4,0,1,0,0,0,1,0,968,1,8370.567
11,399143,782,2013,9,19,4,0,1,0,0,0,0,0,472,1,3980.8074
12,44740,897,2014,4,20,7,1,1,0,0,0,0,0,0,0,0.0
13,674144,933,2013,12,9,1,0,1,0,0,0,0,0,965,1,7588.2505
14,81595,218,2015,4,7,2,0,1,0,0,0,1,0,804,1,5969.7114
15,416724,554,2013,10,9,3,0,1,0,0,0,1,1,499,1,4546.842
16,632687,362,2013,8,12,1,0,1,0,0,0,1,1,1337,1,13340.95
17,351899,655,2014,4,9,3,0,1,0,0,0,0,0,560,1,5107.6646
18,515940,785,2014,12,31,3,0,1,0,0,0,1,0,461,1,4005.759
19,567411,690,2014,3,19,3,0,1,0,0,0,0,1,866,1,7359.0034
20,274598,1103,2015,2,15,7,1,1,0,0,0,0,0,0,0,0.0
21,417880,431,2014,6,2,1,0,1,0,0,0,0,1,1367,1,14643.202
22,453710,127,2013,9,24,2,0,1,0,0,0,0,1,642,1,6109.3584
23,597622,579,2013,3,29,5,1,0,0,1,0,1,1,0,0,0.0
24,223346,248,2013,8,3,6,1,1,0,0,0,0,0,1139,1,7805.5615
25,630018,962,2014,1,11,6,1,1,0,0,0,0,0,0,0,0.0
26,355860,224,2013,3,26,2,0,1,0,0,0,1,1,515,1,6657.4224
27,360080,208,2013,6,19,3,0,1,0,0,0,1,1,355,1,3199.473
28,129544,401,2015,3,30,1,0,1,0,0,0,0,1,1063,1,12610.775
29,422545,503,2013,9,29,7,1,1,0,0,0,0,0,0,0,0.0
30,174199,221,2015,3,5,4,0,1,0,0,0,0,1,562,1,5588.626
31,118613,268,2014,11,2,7,1,1,0,0,0,0,0,0,0,0.0
32,60310,799,2013,8,27,2,0,1,0,0,0,1,1,927,1,9420.096
33,328458,260,2014,10,25,6,1,1,0,0,0,0,0,894,1,6277.7695
34,200661,1041,2015,3,10,2,0,1,0,0,0,0,0,594,1,4866.919
35,179581,350,2013,6,18,2,0,1,0,0,0,0,1,533,1,6689.712
36,587612,286,2015,4,5,7,1,1,0,0,0,0,0,0,0,0.0
37,320169,620,2013,6,4,2,0,1,0,0,0,0,1,709,1,6899.8896
38,37194,521,2013,6,17,1,0,1,0,0,0,0,1,484,1,5450.641
39,685427,649,2014,11,27,4,0,1,0,0,0,0,1,435,1,4648.5083
40,125422,1059,2015,6,2,2,0,1,0,0,0,0,1,1239,1,10812.171
41,24499,486,2014,6,28,6,1,1,0,0,0,0,0,373,1,3331.5579
42,281806,252,2013,10,17,4,0,1,0,0,0,0,0,642,1,6440.726
43,540511,656,2013,5,15,3,0,1,0,0,0,0,1,421,1,3473.3787
44,28689,642,2014,9,12,5,1,1,0,0,0,0,0,394,1,3123.6704
45,165066,655,2015,5,8,5,1,1,0,0,0,0,1,761,1,7724.971
46,555963,992,2013,6,26,3,0,1,0,0,0,0,0,627,1,5509.024
47,610614,143,2015,6,2,2,0,1,0,0,0,0,1,731,1,7776.8745
48,64013,421,2014,7,18,5,1,1,0,0,0,1,1,941,1,7065.4927
49,30639,246,2014,10,2,4,0,1,0,0,0,0,1,1157,1,9466.07
50,418604,960,2014,4,28,1,0,1,0,0,0,0,1,720,1,8527.0
51,468037,313,2014,1,17,5,1,1,0,0,0,0,0,697,1,5999.997
52,271589,291,2013,6,29,6,1,1,0,0,0,0,0,534,1,4999.939
53,77924,924,2014,5,31,6,1,1,0,0,0,0,0,333,1,3439.4263
54,247149,337,2013,8,13,2,0,1,0,0,0,1,1,430,1,5956.687
55,576822,1024,2015,3,12,4,0,1,0,0,0,0,0,607,1,4594.2314
56,108538,56,2014,1,22,3,0,1,0,0,0,0,1,402,1,6073.4634
57,645670,507,2014,4,9,3,0,1,0,0,0,0,0,532,1,5618.436
58,601663,970,2013,3,15,5,1,1,0,0,0,0,0,406,1,2979.8147
59,502588,846,2015,6,23,2,0,1,0,0,0,0,0,828,1,6495.4546
60,66732,549,2014,8,27,3,0,1,0,0,0,0,0,582,1,4624.0024
61,627113,1095,2013,3,28,4,0,1,0,0,0,1,1,852,1,8177.527
62,691184,859,2013,4,12,5,1,1,0,0,0,0,1,709,1,5946.16
63,467913,914,2014,7,29,2,0,1,0,0,0,1,1,1178,1,10855.829
64,304890,888,2015,6,23,2,0,1,0,0,0,0,0,634,1,6656.45
65,274018,442,2014,11,4,2,0,1,0,0,0,0,1,517,1,5736.409
66,644430,34,2013,3,9,6,1,1,0,0,0,0,0,905,1,7794.485
67,669009,199,2014,7,10,4,0,1,0,0,0,0,0,581,1,6458.7915
68,518722,854,2015,6,4,4,0,0,1,0,0,0,1,657,1,6395.047
69,505976,611,2014,1,21,2,0,1,0,0,0,0,1,485,1,6588.889
70,291572,808,2015,4,9,4,0,1,0,0,0,1,0,528,1,5975.829
71,39071,1105,2015,1,22,4,0,1,0,0,0,0,0,410,1,4364.8066
72,319154,866,2015,4,24,5,1,1,0,0,0,0,0,445,1,5069.5166
73,166603,222,2013,9,28,6,1,1,0,0,0,0,0,367,1,3143.3843
74,428262,476,2013,9,24,2,0,1,0,0,0,0,1,753,1,6898.508
75,20314,800,2014,5,26,1,0,1,0,0,0,0,0,494,1,4676.964
76,603091,330,2014,3,24,1,0,1,0,0,0,0,0,408,1,3567.3428
77,500421,507,2015,1,7,3,0,1,0,0,0,0,1,648,1,8351.103
